nombre_laberinto,tipo_grafo,filas,columnas,celdas_transitables,nodos_grafo,aristas_no_dirigidas,grado_promedio,peso_promedio_arista,peso_maximo_arista,reduccion_nodos_porcentaje,nodos_expandidos_astar,porcentaje_grafo_expandido,nodos_ruta_compacta,coordenadas_ruta_completa,pasos_ruta,costo_ruta,tiempo_construccion_ms,tiempo_astar_promedio_ms,tiempo_astar_mediana_ms,desviacion_tiempo_astar_ms,tiempo_expansion_ruta_ms,tiempo_total_promedio_ms,repeticiones_astar,estado,error
laberinto.txt,normal,34,34,698,698,705,2.020057,1.0,1,0.0,102,14.613181,65,65,64,64,1.21166,0.227695,0.227695,0.0,0.0,1.439355,1,ok,
laberinto_generado 25 - 4.txt,normal,51,51,1297,1297,1347,2.077101,1.0,1,0.0,1050,80.956052,177,177,176,176,2.08644,2.999531,2.999531,0.0,0.0,5.085971,1,ok,
laberinto_generado 50 - 10.txt,normal,101,101,5481,5481,6010,2.19303,1.0,1,0.0,4794,87.465791,269,269,268,268,10.726579,61.777984,61.777984,0.0,0.0,72.504563,1,ok,
laberinto_generado 50 - 4.txt,normal,101,101,5193,5193,5387,2.074716,1.0,1,0.0,4970,95.705758,411,411,410,410,8.73382,31.776138,31.776138,0.0,0.0,40.509958,1,ok,
laberinto_generado 100 - 10.txt,normal,201,201,21961,21961,24128,2.19735,1.0,1,0.0,11646,53.030372,483,483,482,482,47.843236,362.570986,362.570986,0.0,0.0,410.414222,1,ok,
laberinto_generado 100 - 4.txt,normal,201,201,20785,20785,21594,2.077845,1.0,1,0.0,20425,98.267982,711,711,710,710,41.73492,296.170658,296.170658,0.0,0.0,337.905578,1,ok,
laberinto_generado 200-10.txt,normal,401,401,87921,87921,96650,2.198565,1.0,1,0.0,68070,77.421776,959,959,958,958,258.829177,5312.264874,5312.264874,0.0,0.0,5571.094051,1,ok,
laberinto_generado 200-4.txt,normal,401,401,83169,83169,86495,2.079982,1.0,1,0.0,74423,89.484063,1339,1339,1338,1338,234.137086,2553.542522,2553.542522,0.0,0.0,2787.679608,1,ok,
laberinto_generado 500 - 10.txt,normal,1001,1001,549801,549801,604668,2.199589,1.0,1,0.0,385980,70.203583,2321,2321,2320,2320,2062.481791,117856.328404,117856.328404,0.0,0.0,119918.810195,1,ok,
laberinto_generado 500 - 4.txt,normal,1001,1001,519921,519921,540661,2.079781,1.0,1,0.0,494935,95.19427,3139,3139,3138,3138,1834.893275,54064.533169,54064.533169,0.0,0.0,55899.426444,1,ok,
laberinto_generado 1000 - 10.txt,normal,2001,2001,2199601,2199601,2419077,2.19956,1.0,1,0.0,1746416,79.396945,4697,4697,4696,4696,9037.607788,1341609.434426,1341609.434426,0.0,0.0,1350647.042214,1,ok,
