nombre_laberinto,tipo_grafo,filas,columnas,celdas_transitables,nodos_grafo,aristas_no_dirigidas,grado_promedio,peso_promedio_arista,peso_maximo_arista,reduccion_nodos_porcentaje,nodos_expandidos_astar,porcentaje_grafo_expandido,nodos_ruta_compacta,coordenadas_ruta_completa,pasos_ruta,costo_ruta,tiempo_construccion_ms,tiempo_astar_promedio_ms,tiempo_astar_mediana_ms,desviacion_tiempo_astar_ms,tiempo_expansion_ruta_ms,tiempo_total_promedio_ms,repeticiones_astar,estado,error
laberinto.txt,macro,34,34,698,220,227,2.063636,3.105727,31,68.481375,26,11.818182,12,65,64,64,1.510359,0.069251,0.069251,0.0,0.487807,2.067417,1,ok,
laberinto_generado 25 - 4.txt,macro,51,51,1297,229,274,2.393013,4.857664,34,82.34387,184,80.349345,36,177,176,176,2.831376,0.483072,0.483072,0.0,0.952015,4.266463,1,ok,
laberinto_generado 50 - 10.txt,macro,101,101,5481,1420,1895,2.669014,3.056992,29,74.092319,1247,87.816901,81,269,268,268,12.850076,12.182676,12.182676,0.0,3.372139,28.404891,1,ok,
laberinto_generado 50 - 4.txt,macro,101,101,5193,851,1013,2.380729,5.168806,98,83.612555,815,95.769683,58,411,410,410,11.390387,4.168096,4.168096,0.0,3.356213,18.914696,1,ok,
laberinto_generado 100 - 10.txt,macro,201,201,21961,5692,7671,2.695362,3.052144,36,74.081326,3151,55.358398,161,483,482,482,50.774045,71.582064,71.582064,0.0,12.015578,134.371687,1,ok,
laberinto_generado 100 - 4.txt,macro,201,201,20785,3462,4133,2.387637,5.070167,68,83.343758,3380,97.631427,125,711,710,710,45.673109,40.266267,40.266267,0.0,11.723517,97.662893,1,ok,
laberinto_generado 200-10.txt,macro,401,401,87921,23230,31163,2.682996,3.003819,53,73.578553,18054,77.718467,300,959,958,958,253.032173,1077.481471,1077.481471,0.0,53.171478,1383.685122,1,ok,
laberinto_generado 200-4.txt,macro,401,401,83169,13899,16672,2.399022,5.03101,92,83.288244,12498,89.920138,221,1339,1338,1338,210.313671,339.922546,339.922546,0.0,48.296581,598.532798,1,ok,
laberinto_generado 500 - 10.txt,macro,1001,1001,549801,144842,194479,2.685395,3.007831,54,73.655559,102306,70.632827,806,2321,2320,2320,1737.391769,21306.331741,21306.331741,0.0,333.34289,23377.0664,1,ok,
laberinto_generado 500 - 4.txt,macro,1001,1001,519921,86704,104183,2.403188,5.038288,101,83.32362,82515,95.16862,545,3139,3138,3138,1544.79077,7077.862425,7077.862425,0.0,302.895087,8925.548282,1,ok,
laberinto_generado 1000 - 10.txt,macro,2001,2001,2199601,580670,779478,2.684754,3.00371,72,73.601121,461787,79.526581,1540,4697,4696,4696,8144.434702,258192.085463,258192.085463,0.0,1463.150049,267799.670214,1,ok,
